 * ABOUT        XMRig/6.25.0 gcc/13.2.1 (built for Linux x86-64, 64 bit)
 * LIBS         libuv/1.51.0 OpenSSL/3.0.16 hwloc/2.12.1
 * HUGE PAGES   supported
 * 1GB PAGES    disabled
 * CPU          AMD EPYC-Milan Processor (1) 64-bit AES VM
                L2:0.5 MB L3:32.0 MB 1C/2T NUMA:1
 * MEMORY       1.3/1.8 GB (73%)
 * DONATE       1%
 * ASSEMBLY     auto:ryzen
 * POOL #1      pool.supportxmr.com:3333 algo auto
 * COMMANDS     'h' hashrate, 'p' pause, 'r' resume, 's' results, 'c' connection
[2026-01-17 21:51:56.333]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590057 (34 tx)
[2026-01-17 21:52:06.520]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590057 (38 tx)
[2026-01-17 21:52:14.692]  miner    speed 10s/60s/15m 31.52 33.32 32.41 H/s max 36.18 H/s
[2026-01-17 21:52:16.807]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590057 (41 tx)
[2026-01-17 21:52:26.873]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590057 (43 tx)
[2026-01-17 21:52:37.176]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590057 (48 tx)
[2026-01-17 21:52:37.535]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590058 (2 tx)
[2026-01-17 21:52:40.173]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590058 (3 tx)
[2026-01-17 21:52:47.840]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590058 (5 tx)
[2026-01-17 21:52:57.854]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590058 (7 tx)
[2026-01-17 21:53:07.900]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590058 (10 tx)
[2026-01-17 21:53:14.896]  miner    speed 10s/60s/15m 33.29 32.21 32.33 H/s max 36.18 H/s
[2026-01-17 21:53:17.957]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590058 (17 tx)
[2026-01-17 21:53:27.978]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590058 (19 tx)
[2026-01-17 21:53:38.274]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590058 (24 tx)
[2026-01-17 21:53:48.360]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590058 (32 tx)
[2026-01-17 21:53:58.606]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590058 (35 tx)
[2026-01-17 21:54:08.635]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590058 (38 tx)
[2026-01-17 21:54:11.417]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590058 (39 tx)
[2026-01-17 21:54:15.036]  miner    speed 10s/60s/15m 30.98 32.61 32.34 H/s max 36.18 H/s
[2026-01-17 21:54:18.822]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590058 (41 tx)
[2026-01-17 21:54:46.417]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590058 (42 tx)
[2026-01-17 21:54:56.569]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590058 (44 tx)
[2026-01-17 21:55:03.921]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590059 (4 tx)
[2026-01-17 21:55:15.200]  miner    speed 10s/60s/15m 34.35 32.88 32.30 H/s max 36.18 H/s
[2026-01-17 21:55:15.230]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590059 (5 tx)
[2026-01-17 21:55:25.514]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590059 (8 tx)
[2026-01-17 21:55:35.560]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590059 (10 tx)
[2026-01-17 21:55:45.866]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590059 (12 tx)
[2026-01-17 21:55:56.187]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590059 (15 tx)
[2026-01-17 21:56:06.224]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590059 (17 tx)
[2026-01-17 21:56:15.338]  miner    speed 10s/60s/15m 33.82 33.03 32.36 H/s max 36.18 H/s
[2026-01-17 21:56:16.425]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590059 (20 tx)
[2026-01-17 21:56:26.555]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590059 (22 tx)
[2026-01-17 21:56:28.131]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590060 (2 tx)
[2026-01-17 21:56:38.179]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590060 (4 tx)
[2026-01-17 21:56:48.321]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590060 (10 tx)
[2026-01-17 21:56:58.384]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590060 (11 tx)
[2026-01-17 21:57:08.475]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590060 (14 tx)
[2026-01-17 21:57:15.497]  miner    speed 10s/60s/15m 34.77 33.57 32.44 H/s max 36.18 H/s
[2026-01-17 21:57:18.519]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590060 (20 tx)
[2026-01-17 21:57:28.656]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590060 (24 tx)
[2026-01-17 21:57:38.860]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590060 (34 tx)
[2026-01-17 21:57:48.898]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590060 (42 tx)
[2026-01-17 21:57:59.225]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590060 (46 tx)
[2026-01-17 21:58:09.334]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590060 (49 tx)
